Date,Open,High,Low,Close,Adj Close,Volume
2018-02-04,10607.200195,10637.799805,10398.200195,10454.950195,10454.950195,674200
2018-02-11,10518.200195,10618.099609,10434.049805,10452.299805,10452.299805,841500
2018-02-18,10488.900391,10499.099609,10302.750000,10491.049805,10491.049805,1133300
2018-02-25,10526.549805,10631.650391,10447.150391,10458.349609,10458.349609,821400
2018-03-04,10428.299805,10441.349609,10141.549805,10226.849609,10226.849609,1079300
2018-03-11,10301.599609,10478.599609,10180.250000,10195.150391,10195.150391,1166900
2018-03-18,10215.349609,10227.299805,9951.900391,9998.049805,9998.049805,1134200
2018-03-25,9989.150391,10207.900391,9958.549805,10113.700195,10113.700195,832700
2018-04-01,10151.650391,10350.450195,10111.299805,10331.599609,10331.599609,1098800
2018-04-08,10333.700195,10519.900391,10328.500000,10480.599609,10480.599609,1175400
2018-04-15,10398.299805,10594.200195,10396.349609,10564.049805,10564.049805,1113700
2018-04-22,10592.799805,10719.799805,10514.950195,10692.299805,10692.299805,937700
2018-04-29,10705.750000,10784.650391,10601.599609,10618.250000,10618.250000,775200
2018-05-06,10653.150391,10812.049805,10635.650391,10806.500000,10806.500000,1048800
2018-05-13,10815.150391,10929.200195,10589.099609,10596.400391,10596.400391,1093900
2018-05-20,10616.700195,10628.049805,10417.799805,10605.150391,10605.150391,1091000
2018-05-27,10648.349609,10764.750000,10558.450195,10696.200195,10696.200195,1528000
2018-06-03,10765.950195,10818.000000,10550.900391,10767.650391,10767.650391,991700
2018-06-10,10781.849609,10893.250000,10755.400391,10817.700195,10817.700195,1112800
2018-06-17,10830.200195,10837.000000,10701.200195,10821.849609,10821.849609,1068000
2018-06-24,10822.900391,10831.049805,10557.700195,10714.299805,10714.299805,1290700
2018-07-01,10732.349609,10816.349609,10604.650391,10772.650391,10772.650391,891900
2018-07-08,10838.299805,11078.299805,10807.150391,11018.900391,11018.900391,851200
2018-07-15,11018.950195,11076.200195,10925.599609,11010.200195,11010.200195,1049300
2018-07-22,11019.849609,11283.400391,11010.950195,11278.349609,11278.349609,1320800
2018-07-29,11296.650391,11390.549805,11234.950195,11360.799805,11360.799805,1233300
2018-08-05,11401.500000,11495.200195,11359.700195,11429.500000,11429.500000,942800
2018-08-12,11369.599609,11486.450195,11340.299805,11470.750000,11470.750000,1004800
2018-08-19,11502.099609,11620.700195,11499.650391,11557.099609,11557.099609,924100
2018-08-26,11605.849609,11760.200195,11595.599609,11680.500000,11680.500000,1353300
2018-09-02,11751.799805,11751.799805,11393.849609,11589.099609,11589.099609,1279100
2018-09-09,11570.250000,11573.000000,11250.200195,11515.200195,11515.200195,831500
2018-09-16,11464.950195,11464.950195,10866.450195,11143.099609,11143.099609,1411900
2018-09-23,11164.400391,11170.150391,10850.299805,10930.450195,10930.450195,1629300
2018-09-30,10930.900391,11035.650391,10261.900391,10316.450195,10316.450195,1805300
2018-10-07,10310.150391,10492.450195,10138.599609,10472.500000,10472.500000,1713700
2018-10-14,10524.200195,10710.150391,10249.599609,10303.549805,10303.549805,1167000
2018-10-21,10405.849609,10408.549805,10004.549805,10030.000000,10030.000000,1315600
2018-10-28,10078.099609,10606.950195,10020.349609,10553.000000,10553.000000,1798900
2018-11-04,10558.750000,10619.549805,10477.000000,10585.200195,10585.200195,629700
2018-11-11,10607.799805,10695.150391,10440.549805,10682.200195,10682.200195,1241600
2018-11-18,10731.250000,10774.700195,10512.000000,10526.750000,10526.750000,1107700
2018-11-25,10568.299805,10922.450195,10489.750000,10876.750000,10876.750000,1569700
2018-12-02,10930.700195,10941.200195,10588.250000,10693.700195,10693.700195,1688400
2018-12-09,10508.700195,10838.599609,10333.849609,10805.450195,10805.450195,1883600
2018-12-16,10853.200195,10985.150391,10738.650391,10754.000000,10754.000000,1591500
2018-12-23,10780.900391,10893.599609,10534.549805,10859.900391,10859.900391,1188700
2018-12-30,10913.200195,10923.549805,10628.650391,10727.349609,10727.349609,1046600
2019-01-06,10804.849609,10870.400391,10733.250000,10794.950195,10794.950195,1353500
2019-01-13,10807.000000,10930.650391,10692.349609,10906.950195,10906.950195,1437000
2019-01-20,10919.349609,10987.450195,10756.450195,10780.549805,10780.549805,1371700
2019-01-27,10792.450195,10983.450195,10583.650391,10893.650391,10893.650391,2205600
2019-02-03,10876.750000,10956.700195,10814.150391,10934.349609,10934.349609,568900
